type,name,price,original price,discount,id
塑身衣,黛安芬-曲線美体衣-緊緻保養系列-M-EL高腰美体褲 (黑),330.0,2680.0,0.12313432835820895,66
穿搭配件,蒂巴蕾 T韌 長效菁軔 彈性絲襪,59.0,370.0,0.15945945945945947,62
Gennie’s奇妮,【Gennie’s奇妮】OL媽咪最愛．百搭棉質孕婦七分褲-黑 (G4209),500.0,2995.0,0.1669449081803005,149
流行內衣,無鋼圈內衣 蕾絲U型美背內衣(黑XL)Naya Nina,160.0,899.0,0.17797552836484984,63
BIG TRAIN,【BIG TRAIN】女款　貼布刺繡女垮褲(深藍),590.0,3280.0,0.1798780487804878,134
Lee,Lee 短袖T恤 美國國旗logo圓領 男 麻花粉紅,333.0,1580.0,0.2107594936708861,143
東妮寢飾,【Tonia Nicole東妮寢飾】阿芙拉環保活性印染精梳棉單人涼被,1280.0,6020.0,0.21262458471760798,235
夢特嬌,MONTAGUT-冰絲膠原蛋白被,699.0,3000.0,0.233,237
安妮公主童裝,芭蕾舞蕾絲網紗蝴蝶結短袖上衣*1355黑,300.0,1250.0,0.24,154
餐廚用品、杯壺烘焙,迪士尼Disney 可愛微笑造型陶瓷盤/4款任選(8H),99.0,390.0,0.25384615384615383,107
BRAPPERS,BRAPPERS 女款 Boy Friend Jeans系列-女用3D七分反摺褲-淺藍,790.0,2990.0,0.26421404682274247,136
Timberland,Timberland 男款白色素面純棉短袖襯衫,790.0,2900.0,0.27241379310344827,169
百貨專櫃女裝,gozo 不規則下擺樹葉造型上衣(共二色),390.0,1380.0,0.2826086956521739,53
專櫃名牌飾品,【tic tac toe】白鋼耳環  任選2對$350,350.0,1180.0,0.2966101694915254,81
betty's貝蒂思,betty’s貝蒂思　亮片針織外罩條紋背心兩件式上衣(黑色),864.0,2880.0,0.3,145
中大尺碼,瑪登瑪朵-無敵美G包覆穩定內衣  B-G罩杯(黑),450.0,1480.0,0.30405405405405406,58
流行女裝,gozo 希望種子圖案造型上衣(共三色),390.0,1280.0,0.3046875,52
吸塵器,iRobot Roomba 870機器人掃地機,17288.0,55000.0,0.31432727272727273,32
專櫃內衣,黛安芬-逆齡Bra B-F罩杯內衣(玫瑰粉),530.0,1680.0,0.31547619047619047,64
beartwo,beartwo V領條紋拼接雪紡針織上衣(二色),790.0,2480.0,0.3185483870967742,133
瑪登瑪朵,瑪登瑪朵-美透了Bra我挺妳  低腰平口無痕褲(牙白),150.0,460.0,0.32608695652173914,157
bossini,bossini女裝-時尚束口褲05黑,499.0,1500.0,0.33266666666666667,146
休閒零食、進口零食,黃粒紅 椒麻花生輕巧包(13g),5.0,15.0,0.3333333333333333,2
AIR SPACE服裝,AIR SPACE 緹花蕾絲滾邊V領五分袖上衣(白),290.0,870.0,0.3333333333333333,144
床包、枕頭、棉被,Ania Casa 台灣製 超厚美肌磨毛 - 單人床包枕套二件組- 剪影,339.0,980.0,0.34591836734693876,106
清潔掃除、日用百貨,妙管家-抗菌防霉洗衣精4000g,99.0,283.0,0.3498233215547703,7
船井生醫,船井 6X活力瑪卡王雙人幸福久久組,1780.0,4960.0,0.3588709677419355,232
潮流運動服飾,K-Swiss Solid Polo短袖Polo衫-女-寶藍,390.0,1080.0,0.3611111111111111,57
COACH,COACH 最新經典LOGO手拿包(多款)均一價$1380,1380.0,3800.0,0.3631578947368421,90
A.S.O、effie,A.S.O 通勤系列 全真皮素色窩心高跟鞋 藍,1290.0,3495.0,0.36909871244635195,172
按摩、舒壓家電,Concern 康生 新第四代4D摩力寶貝溫熱揉捏按摩枕-磚紅色 CON-1288,990.0,2680.0,0.3694029850746269,38
流行飾品,梨花HaNA   925純銀簡約光感圈圈小耳環精裝版,220.0,580.0,0.3793103448275862,82
iki2,iki2俏麗甜心-真皮壓紋蝴蝶結娃娃鞋-花漾桃,1290.0,3390.0,0.3805309734513274,181
ohoh-mini,ohoh-mini孕婦裝輕機能塑束褲-綠色,499.0,1280.0,0.38984375,152
音響、影音播放器,途訊 K068 掌上型 行動KTV 無線麥克風 藍芽喇叭-急速配,990.0,2498.0,0.3963170536429143,28
專櫃女包,SOFER 拼接羊皮多口袋後背包 - 個性黑,990.0,2480.0,0.39919354838709675,73
gozo,gozo奇幻冒險家文字拼接上衣(二色),890.0,2180.0,0.40825688073394495,138
JOE&MICHELLE;,Just Star 夢遊仙境流蘇馬鞍包 冰霧灰,1720.0,4160.0,0.41346153846153844,190
手機週邊配件,aibo 二合一手持三腳架藍牙自拍桿(OO-87),249.0,599.0,0.41569282136894825,47
羅絲美、La Felino,【羅絲美】幻想佳人短袖褲裝睡衣 (純潔白),1090.0,2580.0,0.42248062015503873,165
書房家具、電腦桌椅,凱特透氣網背電腦椅(三色),799.0,1890.0,0.42275132275132277,103
健身器材,LEADER 進化版X型運動壓縮護膝腿套 2只入 - 急速配,599.0,1380.0,0.4340579710144927,118
JW,JW  真皮薔薇秘境亮面蟒蛇壓紋手肩側鏈帶包 共二色,990.0,2280.0,0.4342105263157895,191
TAS,TAS 浪漫蕾絲水鑽飾扣高跟鞋-耀眼紅,1990.0,4580.0,0.4344978165938865,168
Dr.Douxi 朵璽,Dr.Douxi朵璽 賦活新生卵殼膜100g 3瓶入(團購組),1980.0,4500.0,0.44,210
玩具、模型,（最熱銷款）紓壓指尖陀螺 手指陀螺-極光炫彩版,399.0,899.0,0.44382647385984425,116
DR.WU達爾膚,Dr.Douxi朵璽 粉刺拔除組(軟化水50ml+粉刺拔除膜70ml+收斂水50ml),399.0,899.0,0.44382647385984425,220
平板週邊,Apple Lightning 充電傳輸線(原廠平輸),268.0,599.0,0.44741235392320533,14
agnes b.,agnes b. voyage白色飾條名片夾-藍,1611.0,3580.0,0.45,86
生活小家電,Deukonig 德京 除皺大師掛燙機 皇家藍歐洲熱銷款,897.0,1980.0,0.453030303030303,33
流行女包,JW  真皮自由女神時尚鉚釘手肩牛皮包 共四色,990.0,2180.0,0.4541284403669725,72
童裝,Azio Kids-短褲 框線鯊魚印花雙口袋短褲(淺藍),188.0,398.0,0.4723618090452261,61
DF美肌醫生,DF美肌醫生 保濕玻尿酸保濕精華Plus30ml2入贈精華7mlX2,1380.0,2910.0,0.4742268041237113,209
蘇菲亞珠寶,蘇菲亞SOPHIA 鑽石項鍊-GIA伊蕾拉0.30克拉DSI2鑽鍊,29800.0,61800.0,0.48220064724919093,205
達芙妮DAPHNE,達芙妮DAPHNE 休閒鞋-馬卡龍純色綁帶平底休閒鞋-粉紅8H,1200.0,2480.0,0.4838709677419355,188
AP愛茉莉太平洋,LANEIGE蘭芝 睡美人晚安唇膜水酷保濕面膜組,700.0,1420.0,0.49295774647887325,225
情趣專區,貓裝網衣 轉身Ｖ誘惑情趣連身衣 (螢光萊姆) alas,329.0,665.0,0.49473684210526314,41
泳裝、比基尼,TRANSTAR 度數泳鏡 抗UV塑鋼鏡片-防霧純矽膠,490.0,980.0,0.5,67
藥妝、醫美保養品,買一送一 DR.WU玻尿酸保濕精華液35ML,1600.0,3200.0,0.5,99
露營、登山用品,韓國熱銷 秒開全自動彈開式帳篷,990.0,1980.0,0.5,119
EDWIN,EDWIN 江戶勝海浪雲海植絨印花短袖T恤-男-丈青,845.0,1690.0,0.5,148
獨身貴族、CHICA,SNS 韓系率性異材質線條拼接上衣(2色),1490.0,2980.0,0.5,155
曼黛瑪璉,曼黛瑪璉-熱力印花-比基尼二件組三角泳裝(花朵紅),690.0,1380.0,0.5,161
1028上妝同步保養,1028 水感提亮抗曬乳 2入,399.0,798.0,0.5,222
CASIO卡西歐,CASIO 超輕薄感數字錶(MQ-24-1b3)-(黑面銀圈),388.0,750.0,0.5173333333333333,87
數位相機、攝影機,LG雙面廣角鏡頭360度球型環景攝影機 LG-R105(原廠公司貨),4688.0,8990.0,0.52146829810901,43
ibs,Earl Jean 民俗牛仔洋裝-中藍-女,1411.0,2680.0,0.5264925373134328,140
+ONE% 歐恩伊,+ONE%歐恩伊 夏日反孔組 (毛孔緊緻精華50ml+雙效調理露120ml),900.0,1700.0,0.5294117647058824,206
miss 21,休閒鞋MISS 21時尚態度牛皮兩穿厚底休閒鞋－金,2280.0,4280.0,0.5327102803738317,167
臥室家具、收納用品,魔術方塊30系統收納櫃/玻璃門櫃-原木色,560.0,1050.0,0.5333333333333333,104
MAGY、ORIN,MAGY甜美時尚 經典牛皮壓紋LOGO銀飾娃娃鞋-黑色,1800.0,3280.0,0.5487804878048781,183
Dr.Hsieh 謝醫師,Dr.Hsieh 全效控油防曬隔離液(白色)SPF50★★★50ml 2入組,715.0,1300.0,0.55,211
專櫃保養,IOPE艾諾碧 長效粉霧限定彩殼底妝組(姓名刻製)#N21,2400.0,4345.0,0.5523590333716916,97
思薇爾,思薇爾 星願系列B-E罩蕾絲包覆內衣(拉丁紅),720.0,1280.0,0.5625,160
美日名牌包、配件,MICHAEL KORS Jet Set防刮皮革手拿包/長夾,4980.0,8800.0,0.5659090909090909,78
蛋糕、甜點、麵包,亞尼克夢想村派塔-25度N檸檬派6吋_單組,365.0,640.0,0.5703125,114
香水、香氛,Acca Kappa 白麝香中性噴式淡香水 100ml,1199.0,2100.0,0.570952380952381,98
FAIR LADY,Fair Lady 我的旅行日記 輕盈共舞金屬方頭平底鞋(加厚版) 灰,2280.0,3980.0,0.5728643216080402,178
生鮮蔬果、天然有機,極鮮配888任選 美國熟成翼板黑牛 (200g±10%/片)-1包,229.0,399.0,0.5739348370927319,113
LADY,LADY 奧蒂莉亞系列 B-E罩內衣(質感膚),990.0,1690.0,0.5857988165680473,159
BESO,BESO 簡約知性 真皮金屬粗跟鞋 卡其色,1990.0,3395.0,0.5861561119293078,175
運動用品、服飾,LEADER COOLMAX 運動專用薄型除臭機能襪 男款 黑色 - 快速到貨,290.0,490.0,0.5918367346938775,117
珠寶、鑽石、黃金,A+ 24K純金箔玫瑰花/康乃馨禮盒組(2選1),999.0,1680.0,0.5946428571428571,83
S-moda 日系美妝,ettusais艾杜紗 零毛孔保濕霜效化妝水2品超值組,1260.0,2115.0,0.5957446808510638,221
舒摩兒,舒摩兒 潔淨加量特殺組(浴潔露237mlx2+嫩白露29ml+舒粉29gx2),699.0,1167.0,0.5989717223650386,218
鍵盤、滑鼠、喇叭,羅技 M170 無線滑鼠-三色可選,299.0,499.0,0.5991983967935872,23
